證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2376,技嘉            ,"1,974,809","969,184","1,005,625",0.0,0.0,0.0,0,"42,000","-42,000","-45,617","20,000","24,000","-4,000","31,620","73,237","-41,617","918,008"
"=""058907""",創意元大4A購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"915,000",0,0,0,"916,000","1,000","915,000","915,000"
"=""072849""",皇昌凱基4B購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"900,000",0,0,0,"900,000",0,"900,000","900,000"
1319,東陽            ,"2,465,930","1,521,512","944,418",0.0,0.0,0.0,"20,000","11,226","8,774","-62,568","13,774","122,920","-109,146","73,078","26,500","46,578","890,624"
"=""054674""",宏達電元大4A購02,0,0,0,0.0,0.0,0.0,0,0,0,"890,000",0,0,0,"900,000","10,000","890,000","890,000"
1314,中石化          ,"3,611,847","2,593,354","1,018,493",0.0,0.0,0.0,0,0,0,"-146,350",0,"111,000","-111,000","7,718","43,068","-35,350","872,143"
3711,日月光投控      ,"14,957,977","12,367,007","2,590,970",0.0,0.0,0.0,"134,000","1,305,369","-1,171,369","-547,571","2,000","149,859","-147,859","102,448","502,160","-399,712","872,030"
"=""074271""",智邦群益49購04  ,0,0,0,0.0,0.0,0.0,0,0,0,"869,000",0,0,0,"940,000","71,000","869,000","869,000"
"=""077054""",臺股指群益49購35,0,0,0,0.0,0.0,0.0,0,0,0,"869,000",0,0,0,"980,000","111,000","869,000","869,000"
"=""07845P""",奇鋐國票4A售03  ,0,0,0,0.0,0.0,0.0,0,0,0,"856,000",0,0,0,"878,000","22,000","856,000","856,000"
1560,中砂            ,"1,956,101","1,520,000","436,101",0.0,0.0,0.0,"288,000","1,000","287,000","129,691","80,000","24,000","56,000","91,387","17,696","73,691","852,792"
"=""075952""",台積電群益4A購27,0,0,0,0.0,0.0,0.0,0,0,0,"851,000",0,0,0,"851,000",0,"851,000","851,000"
5521,工信            ,"1,343,206","482,031","861,175",0.0,0.0,0.0,0,"1,000","-1,000","-17,000",0,"17,000","-17,000",0,0,0,"843,175"
4960,誠美材          ,"945,000","74,000","871,000",0.0,0.0,0.0,0,0,0,"-31,334",0,"31,334","-31,334",0,0,0,"839,666"
"=""05760P""",鴻海國票47售03  ,0,0,0,0.0,0.0,0.0,0,0,0,"833,000",0,0,0,"968,000","135,000","833,000","833,000"
"=""079474""",台塑富邦4C購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"830,000",0,0,0,"839,000","9,000","830,000","830,000"
"=""05324P""",川湖統一49售04  ,0,0,0,0.0,0.0,0.0,0,0,0,"829,000",0,0,0,"1,082,000","253,000","829,000","829,000"
